"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy a PostgreSQL cluster and a test application.","398934","test_deploy","tests.integration.ha_tests","2026-05-16","passed","2026-05-16","","test_restart","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","188377","test_plugins","tests.integration","2026-05-16","passed","2026-05-16","","test_plugins","",""
"Test that dedicated PostgreSQL, Patroni and pgBackRest log directories exist.","972","test_log_directories_exist[0]","tests.integration","2026-05-16","passed","2026-05-16","","test_filesystem_layout","",""
"Test graceful promotion of a standby cluster to primary.","170754","test_standby_promotion","tests.integration.high_availability","2026-05-16","passed","2026-05-16","","test_async_replication","",""
"","55132","test_application_removal","tests.integration","2026-05-16","passed","2026-05-16","","test_charm","",""
"Test refresh back to stable channel.","0","test_rollback_without_pre_refresh_check","tests.integration.high_availability","2026-05-16","skipped","2026-05-16","","test_upgrade_skip_pre_upgrade_check","",""
"","","test_pg3_remove_relation","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","","test_resolve_errors","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"Write to primary, read data from secondaries (check consistency).","11440","test_consistency","tests.integration.ha_tests","2026-05-16","passed","2026-05-16","","test_replication","",""
"","","test_replication_after_subscriptions_changes","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","4012","test_block_on_missing_region","tests.integration","2026-05-16","passed","2026-05-16","","test_backups_gcp","",""
"","","test_pg3_extend_subscription","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"Tests that the cluster maintains a primary after the primary is deleted.","61399","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-05-16","passed","2026-05-16","","test_charm","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","957166","test_backup_gcp","tests.integration","2026-05-16","passed","2026-05-16","","test_backups_gcp","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","31033","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-05-16","passed","2026-05-16","","test_self_healing_1","",""
"Deploy a 3-unit PostgreSQL cluster and the continuous-writes test application.","368188","test_deploy","tests.integration.high_availability","2026-05-16","passed","2026-05-16","","test_patroni_reinit","",""
"Completely cut and restore network.","222152","test_network_cut","tests.integration.ha_tests","2026-05-16","passed","2026-05-16","","test_self_healing_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","27502","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-05-16","passed","2026-05-16","","test_self_healing_1","",""
"Test that pg_wal symlink inside pgdata points to WAL directory on logs storage.","352","test_pg_wal_symlink[0]","tests.integration","2026-05-16","passed","2026-05-16","","test_filesystem_layout","",""
"Remove unit with force while storage is alive.","107464","test_app_force_removal","tests.integration.ha_tests","2026-05-16","passed","2026-05-16","","test_smoke","",""
"Test wal_compression configuration parameter.","50288","test_wal_compression_config","tests.integration","2026-05-16","passed","2026-05-16","","test_config","",""
"Delete headless service, verify error state, recreate, and recover.","8055","test_headless_service_error_and_recovery","tests.integration","2026-05-16","passed","2026-05-16","","test_headless_service","",""
"Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    ","34184","test_deploy_without_trust","tests.integration","2026-05-16","passed","2026-05-16","","test_trust","",""
"Test that /var/log/postgresql is a symlink pointing to the pg_logs directory.","715","test_postgresql_log_path[1]","tests.integration","2026-05-16","passed","2026-05-16","","test_filesystem_layout","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1705021","test_pitr_backup_ceph","tests.integration","2026-05-16","passed","2026-05-16","","test_backups_pitr_ceph","",""
"","","test_pg2_publisher_error","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","573612","test_tls","tests.integration","2026-05-16","passed","2026-05-16","","test_tls","",""
"Deploy the charms.","167946","test_deploy","tests.integration","2026-05-16","passed","2026-05-16","","test_username_prefix","",""
"Test that there is read-only endpoint in a scaled up cluster.","268409","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-05-16","passed","2026-05-16","","test_new_relations_1","",""
"Test that /var/log/patroni is a symlink pointing to the patroni_logs directory.","721","test_patroni_log_symlink[0]","tests.integration","2026-05-16","passed","2026-05-16","","test_filesystem_layout","",""
"Test that a previously broken relation would be functional if restored.","139314","test_restablish_relation","tests.integration.new_relations","2026-05-16","passed","2026-05-16","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","1139003","test_backup_aws","tests.integration","2026-05-16","passed","2026-05-16","","test_backups_aws","",""
"","44","test_exporter_is_up[1]","tests.integration","2026-05-16","passed","2026-05-16","","test_charm","",""
