"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 01:31:16 UTC 2024","Mon May 06 01:36:04 UTC 2024","288122","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Mon May 06 01:39:03 UTC 2024","Mon May 06 01:39:47 UTC 2024","44019","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[postgres]",""
"passed","Mon May 06 01:31:35 UTC 2024","Mon May 06 01:36:12 UTC 2024","276922","tests.integration.ha_tests","test_replication","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Mon May 06 01:38:39 UTC 2024","Mon May 06 01:46:14 UTC 2024","454582","tests.integration.ha_tests","test_replication","","","","test_no_data_replicated_between_clusters","Check that writes in one cluster are not replicated to another cluster."
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:42 UTC 2024","2052","tests.integration","test_charm","","","","test_settings_are_correct[0]",""
"skipped","Mon May 06 01:57:12 UTC 2024","Mon May 06 01:57:12 UTC 2024","0","tests.integration","test_backups","","","","test_invalid_config_and_recovery_after_fixing_it","Test that the charm can handle invalid and valid backup configurations."
"passed","Mon May 06 02:09:53 UTC 2024","Mon May 06 02:12:14 UTC 2024","140858","tests.integration","test_charm","","","","test_storage_with_more_restrictive_permissions","Test that the charm can be deployed with a storage with more restrictive permissions."
"passed","Mon May 06 01:31:46 UTC 2024","Mon May 06 01:41:31 UTC 2024","585019","tests.integration","test_config","","","","test_config_parameters","Build and deploy one unit of PostgreSQL and then test config with wrong parameters."
"passed","Mon May 06 01:42:01 UTC 2024","Mon May 06 01:42:45 UTC 2024","44321","tests.integration","test_db","","","","test_roles_blocking",""
"passed","Mon May 06 01:38:48 UTC 2024","Mon May 06 01:42:01 UTC 2024","192685","tests.integration","test_db","","","","test_extensions_blocking",""
"passed","Mon May 06 01:48:09 UTC 2024","Mon May 06 01:48:40 UTC 2024","30896","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Mon May 06 02:04:34 UTC 2024","Mon May 06 02:09:53 UTC 2024","318594","tests.integration","test_charm","","","","test_redeploy_charm_same_model_after_forcing_removal","Redeploy the charm in the same model to test that it works after a forceful removal."
"broken","Mon May 06 01:31:14 UTC 2024","Mon May 06 01:47:56 UTC 2024","1002276","tests.integration","test_tls","","","","test_mattermost_db","Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    "
"passed","Mon May 06 01:40:38 UTC 2024","Mon May 06 01:41:22 UTC 2024","43280","tests.integration","test_password_rotation","","","","test_empty_password","Test that the password can't be set to an empty string."
"skipped","Mon May 06 01:35:31 UTC 2024","Mon May 06 01:35:31 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/usr/bin/patroni]",""
"passed","Mon May 06 01:31:05 UTC 2024","Mon May 06 01:35:27 UTC 2024","262166","tests.integration","test_password_rotation","","","","test_deploy_active","Build the charm and deploy it."
"passed","Mon May 06 01:51:22 UTC 2024","Mon May 06 01:58:59 UTC 2024","456550","tests.integration","test_charm","","","","test_persist_data_through_failure","Test data persists through a failure."
"passed","Mon May 06 01:47:33 UTC 2024","Mon May 06 01:49:45 UTC 2024","131992","tests.integration.new_relations","test_new_relations","","","","test_invalid_extra_user_roles",""
"passed","Mon May 06 01:31:03 UTC 2024","Mon May 06 01:35:41 UTC 2024","278749","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Mon May 06 01:51:03 UTC 2024","Mon May 06 01:51:22 UTC 2024","19193","tests.integration","test_charm","","","","test_persist_data_through_graceful_restart","Test data persists through a graceful restart."
"passed","Mon May 06 01:40:45 UTC 2024","Mon May 06 01:44:31 UTC 2024","225769","tests.integration.new_relations","test_new_relations","","","","test_read_only_endpoint_in_scaled_up_cluster","Test that there is read-only endpoint in a scaled up cluster."
"passed","Mon May 06 01:40:36 UTC 2024","Mon May 06 01:40:38 UTC 2024","2318","tests.integration","test_password_rotation","","","","test_password_from_secret_same_as_cli","Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    "
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:40 UTC 2024","48","tests.integration","test_charm","","","","test_exporter_is_up[1]",""
"passed","Mon May 06 01:35:44 UTC 2024","Mon May 06 01:35:46 UTC 2024","2053","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"broken","Mon May 06 01:31:03 UTC 2024","Mon May 06 01:57:12 UTC 2024","1568511","tests.integration","test_backups","","","","test_backup_and_restore","Build and deploy two units of PostgreSQL and then test the backup and restore actions."
"passed","Mon May 06 01:43:35 UTC 2024","Mon May 06 01:51:03 UTC 2024","448158","tests.integration","test_charm","","","","test_scale_down_and_up","Test data is replicated to new units after a scale up."
"passed","Mon May 06 01:59:44 UTC 2024","Mon May 06 02:04:34 UTC 2024","290076","tests.integration","test_charm","","","","test_redeploy_charm_same_model","Redeploy the charm in the same model to test that it works."
"passed","Mon May 06 01:39:48 UTC 2024","Mon May 06 01:40:37 UTC 2024","48993","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[/usr/bin/patroni]",""
"passed","Mon May 06 01:41:24 UTC 2024","Mon May 06 01:41:35 UTC 2024","11561","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:40 UTC 2024","44","tests.integration","test_charm","","","","test_exporter_is_up[0]",""
"passed","Mon May 06 01:36:16 UTC 2024","Mon May 06 01:38:21 UTC 2024","124595","tests.integration.ha_tests","test_replication","","","","test_reelection","Kill primary unit, check reelection."
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:40 UTC 2024","20","tests.integration","test_charm","","","","test_database_is_up[2]",""
"failed","Mon May 06 01:45:00 UTC 2024","Mon May 06 01:46:18 UTC 2024","77824","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Mon May 06 01:39:01 UTC 2024","Mon May 06 01:39:28 UTC 2024","27317","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_request_multiple_databases","Test that an application can request additional databases using the same interface."
"passed","Mon May 06 01:35:41 UTC 2024","Mon May 06 01:35:59 UTC 2024","17232","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Mon May 06 01:31:10 UTC 2024","Mon May 06 01:35:40 UTC 2024","270005","tests.integration","test_charm","","","","test_build_and_deploy","Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    "
"passed","Mon May 06 01:31:39 UTC 2024","Mon May 06 01:33:07 UTC 2024","87235","tests.integration","test_trust","","","","test_deploy_without_trust","Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    "
"skipped","Mon May 06 01:57:12 UTC 2024","Mon May 06 01:57:12 UTC 2024","0","tests.integration","test_backups","","","","test_delete_pod",""
"passed","Mon May 06 01:35:59 UTC 2024","Mon May 06 01:44:00 UTC 2024","480985","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"passed","Mon May 06 01:46:11 UTC 2024","Mon May 06 01:47:33 UTC 2024","81585","tests.integration.new_relations","test_new_relations","","","","test_admin_role","Test that the admin role gives access to all the databases."
"passed","Mon May 06 01:55:09 UTC 2024","Mon May 06 01:57:52 UTC 2024","163122","tests.integration.new_relations","test_new_relations","","","","test_indico_datatabase","Tests deploying and relating to the Indico charm."
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:40 UTC 2024","28","tests.integration","test_charm","","","","test_application_created_required_resources",""
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:40 UTC 2024","15","tests.integration","test_charm","","","","test_labels_consistency_across_pods[1]",""
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:40 UTC 2024","14","tests.integration","test_charm","","","","test_labels_consistency_across_pods[2]",""
"passed","Mon May 06 01:33:07 UTC 2024","Mon May 06 01:39:11 UTC 2024","364649","tests.integration","test_trust","","","","test_trust_blocked_deployment","Trust existing blocked deployment.

    Assert on the application status recovering to active.
    "
"passed","Mon May 06 01:36:38 UTC 2024","Mon May 06 01:43:35 UTC 2024","416591","tests.integration","test_charm","","","","test_cluster_is_stable_after_leader_deletion","Tests that the cluster maintains a primary after the primary is deleted."
"passed","Mon May 06 01:35:40 UTC 2024","Mon May 06 01:35:40 UTC 2024","19","tests.integration","test_charm","","","","test_database_is_up[1]",""
"passed","Mon May 06 01:31:02 UTC 2024","Mon May 06 01:35:31 UTC 2024","268507","tests.integration.ha_tests","test_self_healing","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Mon May 06 01:38:22 UTC 2024","Mon May 06 01:38:38 UTC 2024","16502","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"passed","Mon May 06 01:49:45 UTC 2024","Mon May 06 01:55:09 UTC 2024","324021","tests.integration.new_relations","test_new_relations","","","","test_discourse",""
"passed","Mon May 06 01:31:24 UTC 2024","Mon May 06 01:37:56 UTC 2024","392428","tests.integration","test_plugins","","","","test_plugins","Build and deploy one unit of PostgreSQL and then test the available plugins."
"passed","Mon May 06 01:45:26 UTC 2024","Mon May 06 01:46:11 UTC 2024","44930","tests.integration.new_relations","test_new_relations","","","","test_relation_with_no_database_name","Test that a relation with no database name doesn't block the charm."
"passed","Mon May 06 01:36:04 UTC 2024","Mon May 06 01:36:22 UTC 2024","17223","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Mon May 06 01:35:35 UTC 2024","Mon May 06 01:37:23 UTC 2024","108513","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[postgres]",""
