"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Redeploy the charm in the same model to test that it works after a forceful removal.","276218","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","Fri Nov 22 02:10:45 UTC 2024","passed","Fri Nov 22 02:15:21 UTC 2024","","test_charm","",""
"","82959","test_delete_pod","tests.integration","Fri Nov 22 02:04:44 UTC 2024","passed","Fri Nov 22 02:06:07 UTC 2024","","test_backups","",""
"Test that an application can connect to different clusters of the same database.","38051","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Fri Nov 22 01:42:48 UTC 2024","passed","Fri Nov 22 01:43:26 UTC 2024","","test_new_relations","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","266681","test_deploy_stable","tests.integration.ha_tests","Fri Nov 22 01:35:24 UTC 2024","passed","Fri Nov 22 01:39:51 UTC 2024","","test_rollback_to_master_label","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","378967","test_plugins","tests.integration","Fri Nov 22 01:36:46 UTC 2024","passed","Fri Nov 22 01:43:05 UTC 2024","","test_plugins","",""
"Test that async replication works when scaling the clusters.","482972","test_scaling","tests.integration.ha_tests","Fri Nov 22 01:59:39 UTC 2024","passed","Fri Nov 22 02:07:42 UTC 2024","","test_async_replication","",""
"Test that an application can request additional databases using the same interface.","29333","test_an_application_can_request_multiple_databases","tests.integration.new_relations","Fri Nov 22 01:44:07 UTC 2024","passed","Fri Nov 22 01:44:36 UTC 2024","","test_new_relations","",""
"Enables RBAC from inside test runner's environment.

    Assert on permission enforcement being active.
    ","3527","test_enable_rbac","tests.integration","Fri Nov 22 01:36:57 UTC 2024","passed","Fri Nov 22 01:37:01 UTC 2024","","test_trust","",""
"Test that there is read-only endpoint in a scaled up cluster.","250103","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","Fri Nov 22 01:46:34 UTC 2024","passed","Fri Nov 22 01:50:44 UTC 2024","","test_new_relations","",""
"Build and deploy three unit of PostgreSQL.","312230","test_build_and_deploy","tests.integration.ha_tests","Fri Nov 22 01:35:08 UTC 2024","passed","Fri Nov 22 01:40:20 UTC 2024","","test_replication","",""
"Tries to regain connectivity to model after microK8s restart.","3165","test_model_connectivity","tests.integration","Fri Nov 22 01:37:01 UTC 2024","passed","Fri Nov 22 01:37:04 UTC 2024","","test_trust","",""
"","85","test_exporter_is_up[1]","tests.integration","Fri Nov 22 01:42:18 UTC 2024","passed","Fri Nov 22 01:42:18 UTC 2024","","test_charm","",""
"Test that there is no read-only endpoint in a standalone cluster.","118037","test_no_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Fri Nov 22 01:44:36 UTC 2024","passed","Fri Nov 22 01:46:34 UTC 2024","","test_new_relations","",""
"","127586","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","Fri Nov 22 01:38:29 UTC 2024","passed","Fri Nov 22 01:40:37 UTC 2024","","test_relations","",""
"Test that a relation with no database name doesn't block the charm.","52528","test_relation_with_no_database_name","tests.integration.new_relations","Fri Nov 22 01:51:40 UTC 2024","passed","Fri Nov 22 01:52:32 UTC 2024","","test_new_relations","",""
"","30","test_database_is_up[0]","tests.integration","Fri Nov 22 01:42:18 UTC 2024","passed","Fri Nov 22 01:42:18 UTC 2024","","test_charm","",""
"Redeploy the charm in the same model to test that it works.","294643","test_redeploy_charm_same_model","tests.integration","Fri Nov 22 02:05:50 UTC 2024","passed","Fri Nov 22 02:10:45 UTC 2024","","test_charm","",""
