"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 01:43:09 UTC 2024","Thu May 23 01:43:52 UTC 2024","43243","tests.integration","test_password_rotation","","","","test_empty_password","Test that the password can't be set to an empty string."
"passed","Thu May 23 02:12:41 UTC 2024","Thu May 23 02:15:28 UTC 2024","166803","tests.integration","test_charm","","","","test_storage_with_more_restrictive_permissions","Test that the charm can be deployed with a storage with more restrictive permissions."
"passed","Thu May 23 01:38:17 UTC 2024","Thu May 23 01:38:17 UTC 2024","27","tests.integration","test_charm","","","","test_database_is_up[2]",""
"passed","Thu May 23 01:38:17 UTC 2024","Thu May 23 01:38:17 UTC 2024","38","tests.integration","test_charm","","","","test_application_created_required_resources",""
"passed","Thu May 23 01:43:35 UTC 2024","Thu May 23 01:44:52 UTC 2024","77042","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"broken","Thu May 23 01:40:00 UTC 2024","Thu May 23 01:40:13 UTC 2024","13889","tests.integration.ha_tests","test_upgrade","","","","test_upgrade_from_edge",""
"passed","Thu May 23 02:06:50 UTC 2024","Thu May 23 02:12:41 UTC 2024","350855","tests.integration","test_charm","","","","test_redeploy_charm_same_model_after_forcing_removal","Redeploy the charm in the same model to test that it works after a forceful removal."
"passed","Thu May 23 01:43:19 UTC 2024","Thu May 23 01:44:03 UTC 2024","43902","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[/usr/bin/patroni]",""
"broken","Thu May 23 01:34:28 UTC 2024","Thu May 23 01:38:52 UTC 2024","264182","tests.integration","test_tls","","","","test_mattermost_db","Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    "
"passed","Thu May 23 01:38:17 UTC 2024","Thu May 23 01:38:17 UTC 2024","87","tests.integration","test_charm","","","","test_labels_consistency_across_pods[0]",""
"passed","Thu May 23 01:34:21 UTC 2024","Thu May 23 01:41:00 UTC 2024","398545","tests.integration.new_relations","test_new_relations","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Thu May 23 01:43:09 UTC 2024","Thu May 23 01:43:35 UTC 2024","26759","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_request_multiple_databases","Test that an application can request additional databases using the same interface."
"passed","Thu May 23 01:38:21 UTC 2024","Thu May 23 01:38:23 UTC 2024","2049","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"passed","Thu May 23 01:34:20 UTC 2024","Thu May 23 01:34:28 UTC 2024","7731","tests.integration","test_tls","","","","test_build_and_deploy","Build and deploy three units of PostgreSQL."
"passed","Thu May 23 01:41:54 UTC 2024","Thu May 23 01:42:31 UTC 2024","36617","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_connect_to_multiple_database_clusters","Test that an application can connect to different clusters of the same database."
"passed","Thu May 23 01:33:45 UTC 2024","Thu May 23 01:37:28 UTC 2024","223351","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Thu May 23 01:38:17 UTC 2024","Thu May 23 01:38:17 UTC 2024","45","tests.integration","test_charm","","","","test_exporter_is_up[2]",""
"skipped","Thu May 23 01:39:00 UTC 2024","Thu May 23 01:39:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/usr/bin/patroni]",""
"passed","Thu May 23 01:33:57 UTC 2024","Thu May 23 01:34:01 UTC 2024","3609","tests.integration","test_trust","","","","test_enable_rbac","Enables RBAC from inside test runner's environment.

    Assert on permission enforcement being active.
    "
"skipped","Thu May 23 01:40:14 UTC 2024","Thu May 23 01:40:14 UTC 2024","0","tests.integration.ha_tests","test_upgrade","","","","test_fail_and_rollback",""
"passed","Thu May 23 01:35:32 UTC 2024","Thu May 23 01:42:19 UTC 2024","407764","tests.integration","test_trust","","","","test_trust_blocked_deployment","Trust existing blocked deployment.

    Assert on the application status recovering to active.
    "
"passed","Thu May 23 01:44:52 UTC 2024","Thu May 23 01:48:40 UTC 2024","227285","tests.integration.new_relations","test_new_relations","","","","test_read_only_endpoint_in_scaled_up_cluster","Test that there is read-only endpoint in a scaled up cluster."
"passed","Thu May 23 01:34:10 UTC 2024","Thu May 23 01:41:31 UTC 2024","440942","tests.integration","test_db","","","","test_finos_waltz_db","Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
    "
"passed","Thu May 23 01:48:40 UTC 2024","Thu May 23 01:49:03 UTC 2024","23750","tests.integration.new_relations","test_new_relations","","","","test_relation_broken","Test that the user is removed when the relation is broken."
"passed","Thu May 23 01:33:57 UTC 2024","Thu May 23 01:38:19 UTC 2024","261586","tests.integration","test_password_rotation","","","","test_deploy_active","Build the charm and deploy it."
"skipped","Thu May 23 01:39:00 UTC 2024","Thu May 23 01:39:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
"passed","Thu May 23 01:38:17 UTC 2024","Thu May 23 01:38:17 UTC 2024","50","tests.integration","test_charm","","","","test_exporter_is_up[1]",""
"passed","Thu May 23 01:56:50 UTC 2024","Thu May 23 01:59:47 UTC 2024","176581","tests.integration.ha_tests","test_self_healing","","","","test_network_cut","Completely cut and restore network."
"passed","Thu May 23 01:39:42 UTC 2024","Thu May 23 01:40:00 UTC 2024","17205","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Thu May 23 01:38:17 UTC 2024","Thu May 23 01:38:17 UTC 2024","28","tests.integration","test_charm","","","","test_database_is_up[1]",""
"passed","Thu May 23 01:59:57 UTC 2024","Thu May 23 02:05:35 UTC 2024","338605","tests.integration.ha_tests","test_self_healing","","","","test_scaling_to_zero","Scale the database to zero units and scale up again."
"passed","Thu May 23 01:53:51 UTC 2024","Thu May 23 01:59:53 UTC 2024","362005","tests.integration.new_relations","test_new_relations","","","","test_discourse",""
"passed","Thu May 23 01:51:41 UTC 2024","Thu May 23 01:53:51 UTC 2024","129903","tests.integration.new_relations","test_new_relations","","","","test_invalid_extra_user_roles",""
"skipped","Thu May 23 01:43:17 UTC 2024","Thu May 23 01:43:17 UTC 2024","0","tests.integration","test_backups","","","","test_delete_pod",""
"passed","Thu May 23 01:37:28 UTC 2024","Thu May 23 01:37:45 UTC 2024","17198","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Thu May 23 01:42:31 UTC 2024","Thu May 23 01:43:18 UTC 2024","46794","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[postgres]",""
"passed","Thu May 23 01:34:31 UTC 2024","Thu May 23 01:38:53 UTC 2024","261321","tests.integration.ha_tests","test_replication","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Thu May 23 01:34:01 UTC 2024","Thu May 23 01:34:04 UTC 2024","3189","tests.integration","test_trust","","","","test_model_connectivity","Tries to regain connectivity to model after microK8s restart."
