"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy both charms (application and database) to use in the tests.","130759","test_deploy_charms","tests.integration.relations","Mon May 12 01:30:42 UTC 2025","passed","Mon May 12 01:32:52 UTC 2025","","test_relations","",""
"","34177","test_majority","tests.integration.ha_tests","Mon May 12 01:36:58 UTC 2025","passed","Mon May 12 01:37:32 UTC 2025","","test_synchronous_policy","",""
"Test that async replication fails back correctly.","140122","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Mon May 12 01:57:03 UTC 2025","passed","Mon May 12 01:59:23 UTC 2025","","test_async_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"","0","test_delete_pod","tests.integration","Mon May 12 02:00:12 UTC 2025","skipped","Mon May 12 02:00:12 UTC 2025","","test_backups_gcp","",""
"Test that async replication works when scaling the clusters.","559155","test_scaling","tests.integration.ha_tests","Mon May 12 01:59:24 UTC 2025","passed","Mon May 12 02:08:43 UTC 2025","","test_async_replication","",""
"Redeploy the charm in the same model to test that it works.","355122","test_redeploy_charm_same_model","tests.integration","Mon May 12 01:58:55 UTC 2025","passed","Mon May 12 02:04:50 UTC 2025","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"","2065","test_settings_are_correct[0]","tests.integration","Mon May 12 01:35:48 UTC 2025","passed","Mon May 12 01:35:51 UTC 2025","","test_charm","",""
"Completely cut and restore network.","","test_network_cut","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"Test that the user is removed when the relation is broken.","56960","test_relation_broken","tests.integration.new_relations","Mon May 12 02:02:33 UTC 2025","passed","Mon May 12 02:03:30 UTC 2025","","test_new_relations_1","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","310370","test_build_and_deploy","tests.integration","Mon May 12 01:30:38 UTC 2025","passed","Mon May 12 01:35:48 UTC 2025","","test_charm","",""
"","140786","test_remove_tls","tests.integration","Mon May 12 01:42:37 UTC 2025","passed","Mon May 12 01:44:57 UTC 2025","","test_tls","",""
"","207911","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","Mon May 12 01:32:52 UTC 2025","passed","Mon May 12 01:36:20 UTC 2025","","test_relations","",""
"","","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"Tries deploying an arm64 charm on amd64 host.","52650","test_arm_charm_on_amd_host","tests.integration","Mon May 12 01:31:01 UTC 2025","passed","Mon May 12 01:31:54 UTC 2025","","test_wrong_arch","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","Mon May 12 01:30:37 UTC 2025","skipped","Mon May 12 01:30:37 UTC 2025","","test_rollback_to_master_label","",""
"","41102","test_application_removal","tests.integration","Mon May 12 01:58:14 UTC 2025","passed","Mon May 12 01:58:55 UTC 2025","","test_charm","",""
"","95472","test_roles_blocking","tests.integration","Mon May 12 01:46:36 UTC 2025","passed","Mon May 12 01:48:11 UTC 2025","","test_db","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"Test basic functionality of database relation interface.","517840","test_database_relation_with_charm_libraries","tests.integration.new_relations","Mon May 12 01:30:53 UTC 2025","passed","Mon May 12 01:39:30 UTC 2025","","test_new_relations_1","",""
"Test switching over to the second cluster.","413632","test_switchover","tests.integration.ha_tests","Mon May 12 01:42:06 UTC 2025","passed","Mon May 12 01:49:00 UTC 2025","","test_async_replication","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"Build and deploy three units of PostgreSQL.","87627","test_build_and_deploy","tests.integration","Mon May 12 01:31:05 UTC 2025","passed","Mon May 12 01:32:33 UTC 2025","","test_ldap","",""
"","634013","test_discourse_from_discourse_charmers","tests.integration","Mon May 12 01:30:35 UTC 2025","passed","Mon May 12 01:41:09 UTC 2025","","test_db_admin","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","1302279","test_backup_aws","tests.integration","Mon May 12 01:30:41 UTC 2025","passed","Mon May 12 01:52:23 UTC 2025","","test_backups_aws","",""
"Test that a previously broken relation would be functional if restored.","159842","test_restablish_relation","tests.integration.new_relations","Mon May 12 02:03:30 UTC 2025","passed","Mon May 12 02:06:10 UTC 2025","","test_new_relations_1","",""
"","371935","test_discourse","tests.integration.new_relations","Mon May 12 01:36:19 UTC 2025","passed","Mon May 12 01:42:31 UTC 2025","","test_new_relations_2","",""
"Test that there is read-only endpoint in a scaled up cluster.","493785","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","Mon May 12 01:54:19 UTC 2025","passed","Mon May 12 02:02:33 UTC 2025","","test_new_relations_1","",""
"Test that an application can connect to different clusters of the same database.","154942","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Mon May 12 01:42:10 UTC 2025","passed","Mon May 12 01:44:45 UTC 2025","","test_new_relations_1","",""
"Test data persists through a failure.","416635","test_persist_data_through_failure","tests.integration","Mon May 12 01:50:55 UTC 2025","passed","Mon May 12 01:57:52 UTC 2025","","test_charm","",""
"Test that the relation can be broken and re-established.","212948","test_reestablish_relation","tests.integration.ha_tests","Mon May 12 01:51:48 UTC 2025","passed","Mon May 12 01:55:21 UTC 2025","","test_async_replication","",""
"","2054","test_settings_are_correct[1]","tests.integration","Mon May 12 01:35:51 UTC 2025","passed","Mon May 12 01:35:53 UTC 2025","","test_charm","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","334068","test_trust_blocked_deployment","tests.integration","Mon May 12 01:31:13 UTC 2025","passed","Mon May 12 01:36:47 UTC 2025","","test_trust","",""
"","542098","test_tls","tests.integration","Mon May 12 01:30:50 UTC 2025","passed","Mon May 12 01:39:52 UTC 2025","","test_tls","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","2152094","test_pitr_backup_gcp","tests.integration","Mon May 12 01:30:47 UTC 2025","passed","Mon May 12 02:06:39 UTC 2025","","test_backups_pitr_gcp","",""
"","26266","test_switchover_sync_standby","tests.integration","Mon May 12 01:50:10 UTC 2025","passed","Mon May 12 01:50:36 UTC 2025","","test_charm","",""
"Check that writes in one cluster are not replicated to another cluster.","272689","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Mon May 12 01:41:42 UTC 2025","passed","Mon May 12 01:46:15 UTC 2025","","test_replication","",""
"","65","test_labels_consistency_across_pods[0]","tests.integration","Mon May 12 01:35:48 UTC 2025","passed","Mon May 12 01:35:48 UTC 2025","","test_charm","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","396699","test_deploy_async_replication_setup","tests.integration.ha_tests","Mon May 12 01:30:47 UTC 2025","passed","Mon May 12 01:37:24 UTC 2025","","test_async_replication","",""
"Scale the database to zero units and scale up again.","725736","test_scaling_to_zero","tests.integration.ha_tests","Mon May 12 01:36:15 UTC 2025","failed","Mon May 12 01:48:21 UTC 2025","","test_self_healing_2","",""
"Build and deploy three unit of PostgreSQL.","355023","test_build_and_deploy","tests.integration.ha_tests","Mon May 12 01:31:07 UTC 2025","passed","Mon May 12 01:37:02 UTC 2025","","test_replication","",""
"Test application deploy in dirty environment with garbage storage from another application.","638943","test_app_resources_conflicts","tests.integration.ha_tests","Mon May 12 01:36:11 UTC 2025","passed","Mon May 12 01:46:50 UTC 2025","","test_smoke","",""
"","34213","test_constant","tests.integration.ha_tests","Mon May 12 01:37:32 UTC 2025","passed","Mon May 12 01:38:06 UTC 2025","","test_synchronous_policy","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","611166","test_finos_waltz_db","tests.integration","Mon May 12 01:31:02 UTC 2025","passed","Mon May 12 01:41:13 UTC 2025","","test_db","",""
"","25","test_database_is_up[0]","tests.integration","Mon May 12 01:35:48 UTC 2025","passed","Mon May 12 01:35:48 UTC 2025","","test_charm","",""
"Write to primary, read data from secondaries (check consistency).","21540","test_consistency","tests.integration.ha_tests","Mon May 12 01:41:20 UTC 2025","passed","Mon May 12 01:41:41 UTC 2025","","test_replication","",""
"Test data persists through a graceful restart.","19276","test_persist_data_through_graceful_restart","tests.integration","Mon May 12 01:50:36 UTC 2025","passed","Mon May 12 01:50:55 UTC 2025","","test_charm","",""
"Test that the password can't be set to an empty string.","31215","test_empty_password","tests.integration","Mon May 12 01:40:28 UTC 2025","passed","Mon May 12 01:40:59 UTC 2025","","test_password_rotation","",""
"","322330","test_extensions_blocking","tests.integration","Mon May 12 01:41:13 UTC 2025","passed","Mon May 12 01:46:36 UTC 2025","","test_db","",""
"","2056","test_settings_are_correct[2]","tests.integration","Mon May 12 01:35:53 UTC 2025","passed","Mon May 12 01:35:55 UTC 2025","","test_charm","",""
"Test async replication between two PostgreSQL clusters.","281290","test_async_replication","tests.integration.ha_tests","Mon May 12 01:37:24 UTC 2025","passed","Mon May 12 01:42:05 UTC 2025","","test_async_replication","",""
"Test password rotation action.","252350","test_password_rotation","tests.integration","Mon May 12 01:36:13 UTC 2025","passed","Mon May 12 01:40:25 UTC 2025","","test_password_rotation","",""
"","53","test_exporter_is_up[0]","tests.integration","Mon May 12 01:35:48 UTC 2025","passed","Mon May 12 01:35:48 UTC 2025","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","Mon May 12 01:30:37 UTC 2025","skipped","Mon May 12 01:30:37 UTC 2025","","test_rollback_to_master_label","",""
"","333040","test_glauth_integration","tests.integration","Mon May 12 01:32:33 UTC 2025","passed","Mon May 12 01:38:06 UTC 2025","","test_ldap","",""
"","","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","149248","test_plugin_objects","tests.integration","Mon May 12 01:36:08 UTC 2025","passed","Mon May 12 01:38:37 UTC 2025","","test_plugins","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","Mon May 12 01:30:50 UTC 2025","skipped","Mon May 12 01:30:50 UTC 2025","","test_upgrade_to_primary_label","",""
"Tests deploying and relating to the Indico charm.","221786","test_indico_datatabase","tests.integration.new_relations","Mon May 12 01:42:31 UTC 2025","passed","Mon May 12 01:46:13 UTC 2025","","test_new_relations_2","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","Mon May 12 02:00:12 UTC 2025","skipped","Mon May 12 02:00:12 UTC 2025","","test_backups_gcp","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"Build and deploy three unit of PostgreSQL.","","test_build_and_deploy","tests.integration.ha_tests","","unknown","","","test_self_healing_1","",""
"","14","test_labels_consistency_across_pods[1]","tests.integration","Mon May 12 01:35:48 UTC 2025","passed","Mon May 12 01:35:48 UTC 2025","","test_charm","",""
"","27","test_database_is_up[2]","tests.integration","Mon May 12 01:35:48 UTC 2025","passed","Mon May 12 01:35:48 UTC 2025","","test_charm","",""
"Kill primary unit, check reelection.","250205","test_reelection","tests.integration.ha_tests","Mon May 12 01:37:08 UTC 2025","passed","Mon May 12 01:41:18 UTC 2025","","test_replication","",""
"Test superuser actions and the request for more permissions.","538","test_user_with_extra_roles","tests.integration.new_relations","Mon May 12 01:39:30 UTC 2025","passed","Mon May 12 01:39:31 UTC 2025","","test_new_relations_1","",""
